,state,gender,age,population,population_fraction,cumulative_fraction
6147,Virginia,M,45,57444,0.00023184057837225984,0.930004639838521
6148,Virginia,M,46,55265,0.00022304626355655838,0.9302276861020775
6149,Virginia,M,47,53858,0.0002173676949720279,0.9304450537970496
6150,Virginia,M,48,53795,0.00021711343070704892,0.9306621672277566
6151,Virginia,M,49,55171,0.0002226668851294469,0.930884834112886
6152,Virginia,M,50,58598,0.00023649805395616045,0.9311213321668422
6153,Virginia,M,51,59829,0.0002414662969750354,0.9313627984638173
6154,Virginia,M,52,59256,0.00023915370294594088,0.9316019521667632
6155,Virginia,M,53,58815,0.00023737385309108804,0.9318393260198543
6156,Virginia,M,54,58938,0.00023787027379890415,0.9320771962936533
6157,Virginia,M,55,58205,0.00023491192925557733,0.9323121082229089
6158,Virginia,M,56,56314,0.00022727996536549405,0.9325393881882744
6159,Virginia,M,57,55695,0.00022478171806355774,0.9327641699063379
6160,Virginia,M,58,54414,0.0002196116780089852,0.9329837815843469
6161,Virginia,M,59,51989,0.00020982452177765155,0.9331936061061246
6162,Virginia,M,60,50841,0.00020519126183803465,0.9333987973679626
6163,Virginia,M,61,48525,0.00019584402314452176,0.9335946413911071
6164,Virginia,M,62,46686,0.000188421928171564,0.9337830633192787
6165,Virginia,M,63,44088,0.00017793655419671666,0.9339609998734755
6166,Virginia,M,64,42459,0.0001713620067736888,0.9341323618802492
6167,Virginia,M,65,41507,0.00016751979121400648,0.9342998816714632
6168,Virginia,M,66,40664,0.00016411749319214492,0.9344639991646553
6169,Virginia,M,67,40115,0.00016190176174018527,0.9346259009263954
6170,Virginia,M,68,42097,0.00016990099623523817,0.9347958019226307
6171,Virginia,M,69,30627,0.00012360875624620852,0.9349194106788768
6172,Virginia,M,70,29727,0.00011997640960365169,0.9350393870884806
6173,Virginia,M,71,28923,0.00011673151326963426,0.9351561186017502
6174,Virginia,M,72,29390,0.00011861629758304987,0.9352747348993332
6175,Virginia,M,73,24891,0.00010045860031097972,0.9353751934996442
6176,Virginia,M,74,22339,9.015887960897417e-05,0.9354653523792531
6177,Virginia,M,75,20861,8.419375923375308e-05,0.9355495461384868
6178,Virginia,M,76,19401,7.830128579138313e-05,0.9356278474242782
6179,Virginia,M,77,17981,7.257024997757127e-05,0.9357004176742557
6180,Virginia,M,78,16189,6.533784421816925e-05,0.9357657555184739
6181,Virginia,M,79,14699,5.932429255438074e-05,0.9358250798110282
6182,Virginia,M,80,13845,5.587759918466572e-05,0.9358809574102129
6183,Virginia,M,81,12122,4.8923673334526386e-05,0.9359298810835475
6184,Virginia,M,82,11244,4.538011738767651e-05,0.9359752612009351
6185,Virginia,M,83,10308,4.1602476879417424e-05,0.9360168636778146
6186,Virginia,M,84,9232,3.7259804671205045e-05,0.9360541234824857
6187,Virginia,M,85,47944,0.00019349914158971564,0.9362476226240755
6188,Virginia,F,18,54331,0.0002192766949297272,0.9364668993190052
6189,Virginia,F,19,55851,0.00022541132481493427,0.9366923106438201
6190,Virginia,F,20,56849,0.00022943919364745838,0.9369217498374676
6191,Virginia,F,21,57825,0.00023337827178427555,0.9371551281092518
6192,Virginia,F,22,58053,0.00023429846626705662,0.9373894265755189
6193,Virginia,F,23,57889,0.00023363657198996848,0.9376230631475089
6194,Virginia,F,24,59086,0.00023846759302456903,0.9378615307405335
6195,Virginia,F,25,59915,0.00024181338787643527,0.9381033441284099
6196,Virginia,F,26,58799,0.0002373092780396648,0.9383406534064496
6197,Virginia,F,27,57751,0.0002330796121714431,0.938573733018621
6198,Virginia,F,28,57856,0.00023350338594640806,0.9388072364045674
6199,Virginia,F,29,58279,0.00023521058886840976,0.9390424469934359
6200,Virginia,F,30,58317,0.00023536395461553995,0.9392778109480514
6201,Virginia,F,31,56936,0.0002297903204895722,0.9395076012685409
6202,Virginia,F,32,58260,0.00023513390599484468,0.9397427351745358
6203,Virginia,F,33,58600,0.00023650612583758836,0.9399792413003734
6204,Virginia,F,34,57927,0.00023378993773709865,0.9402130312381105
6205,Virginia,F,35,58506,0.00023612674741047687,0.940449157985521
6206,Virginia,F,36,55641,0.00022456377726500434,0.940673721762786
6207,Virginia,F,37,54118,0.0002184170395576554,0.9408921388023436
6208,Virginia,F,38,54093,0.0002183161410398066,0.9411104549433834
6209,Virginia,F,39,51989,0.00020982452177765155,0.9413202794651611
6210,Virginia,F,40,52928,0.0002136142701080525,0.9415338937352691
6211,Virginia,F,41,51949,0.00020966308414909347,0.9417435568194181
6212,Virginia,F,42,53661,0.00021657261465137933,0.9419601294340695
6213,Virginia,F,43,56320,0.00022730418100977775,0.9421874336150793
6214,Virginia,F,44,59196,0.00023891154650310377,0.9424263451615824
6215,Virginia,F,45,59672,0.00024083265428294492,0.9426671778158654
6216,Virginia,F,46,57154,0.00023067015556521375,0.9428978479714306
6217,Virginia,F,47,56080,0.00022633555523842927,0.943124183526669
6218,Virginia,F,48,56464,0.00022788535647258685,0.9433520688831416
6219,Virginia,F,49,57337,0.00023140873271586696,0.9435834776158575
6220,Virginia,F,50,61489,0.00024816595856019574,0.9438316435744176
6221,Virginia,F,51,62910,0.00025390103031472155,0.9440855446047324
6222,Virginia,F,52,62366,0.00025170547856633165,0.9443372500832987
6223,Virginia,F,53,61183,0.0002469309607017264,0.9445841810440004
6224,Virginia,F,54,61492,0.0002481780663823376,0.9448323591103828
6225,Virginia,F,55,61698,0.0002490094701694117,0.9450813685805521
6226,Virginia,F,56,59968,0.00024202729273427472,0.9453233958732864
6227,Virginia,F,57,59295,0.000239311104633785,0.9455627069779202
6228,Virginia,F,58,58359,0.00023553346412552592,0.9457982404420457
6229,Virginia,F,59,56382,0.00022755440933404277,0.9460257948513798
6230,Virginia,F,60,55567,0.00022426511765217188,0.946250059969032
6231,Virginia,F,61,53387,0.0002154667668957565,0.9464655267359278
6232,Virginia,F,62,51189,0.00020659576920648994,0.9466721225051342
6233,Virginia,F,63,48510,0.00019578348403381248,0.946867905989168
6234,Virginia,F,64,47366,0.00019116636785705137,0.9470590723570251
6235,Virginia,F,65,46067,0.0001859236808696277,0.9472449960378948
6236,Virginia,F,66,45577,0.00018394606991979122,0.9474289421078146
6237,Virginia,F,67,45031,0.0001817424462899734,0.9476106845541046
6238,Virginia,F,68,47512,0.00019175561520128837,0.9478024401693058
