Location,Burrito,Date,Neighborhood,Address,URL,Yelp,Google,Chips,Cost,Hunger,Length,Circum,Volume,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Rec,Reviewer,Notes,Unreliable,NonSD,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Queso,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini
Taco Stand,California,2/28/2016,,,,,,,7.49,2.5,,,,3,2,4.5,4,4,3.5,3,4.5,4.5,4.5,,Emily,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lola's 7 Up Market & Deli,Shredded beef,2/29/2016,Carlsbad,3292 Roosevelt St,https://www.yelp.com/biz/lolas-7-up-market-and-deli-carlsbad,4.5,4.9,,6,3.5,,,,2.5,2.5,3,4,4,4,3,3.5,1.5,3.8,,Emily,Food cooks fast but checking out is painfully slow,,,x,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Lola's 7 Up Market & Deli,Carne asada,2/29/2016,,,,,,,7,3.5,,,,2.5,3,3,4,2,2,3,3.5,3.5,3,,Scott,Beans are surprisingly good,,,x,x,x,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Colima's Mexican Food,Hawaiian,3/3/2016,North park,2302 University Ave,https://www.yelp.com/biz/colimas-mexican-food-san-diego,4,4.2,,6.29,3.5,,,,3.5,5,4,4,3.5,4.5,3.5,3.5,4,4,Yes,Scott,,,,,,,x,,,x,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,
Colima's Mexican Food,Bandido,3/3/2016,,,,,,,6.49,4.5,,,,3,5,4,4,5,4,2.5,4.5,4,4,,Sage,,,,x,,,,,,,,,,x,x,,,,,,x,,,,,,,x,,,,,,,,,,
Colima's Mexican Food,Bandido,3/3/2016,,,,,,,6.49,4.5,,,,3,4.5,3.5,3.5,3.5,3,3,3,4,3,,Eli,Promising start but finished poorly,,,x,,,,,,,,,,x,x,,,,,,x,,,,,,,x,,,,,,,,,,
Rigoberto's Taco Shop,Carne asada,3/8/2016,Miramar,7094 Miramar Rd,https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,4,4.4,,6.6,3.5,,,,4,2,4,3.5,4.5,4,3.5,4,1,4.25,,Ricardo,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop,Campeon,3/8/2016,,,,,,,7.65,3.5,,,,3,1.5,3,3,2.5,3,3.5,2.5,4,3.4,,Scott,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raul's Mexican food,Chile verde pork,3/11/2016,Encinitas,490 S Coast Hwy 101,https://www.yelp.com/biz/rauls-shack-encinitas,4,4.2,,5,3.5,,,,2,,2.5,2,2,2,2,2.5,,2,,Emily,,,,,,,,,,x,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,
Raul's Mexican food,carne asada,3/11/2016,,,,,,,5,1,,,,2,,1,1,0.5,1,1.5,1,4,1,No,Scott,burrito was mostly tortilla,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Zarape,California,3/14/2016,University Heights,4642 Park Blvd,https://www.yelp.com/biz/el-zarape-san-diego,4,4.4,x,6.25,0.5,,,,3,5,4,2.75,4,1.6,3.5,3.4,5,3.33333,,Kelsey,,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Zarape,California chicken,3/14/2016,,,,,,,6.25,3,,,,3.5,5,2.5,2.5,4,2.7,3.5,3,5,2.5,,Sage,,,,,x,x,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Zarape,Azteca,3/14/2016,,,,,,,6.25,3.75,,,,3,5,5,4.5,4,4,1.5,3,5,3,,Jake,,,,x,x,,x,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,
El Zarape,Lobster,3/14/2016,,,,,,,9.5,3,,,,3,3,4,3,3.5,4.5,3.5,3,3.5,3.2,No,Scott,quite small,,,,,,,,,,,,,,,,x,,,x,x,,,,,,,,,x,,,,,,,,
El Indio,California,3/17/2016,San Diego,3695 India St,http://elindiosandiego.com/,3.5,3.9,,7.84,4,,,,4,4,3.5,4,4.5,4,3.5,3.5,4.5,4,Yes,Scott,,,,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taco stand,Carne asada,3/18/2016,,,,,,,7.89,1,,,,3,3.5,4.5,4,5,5,4.5,3.5,5,4.2,Yes,Scott,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taco stand,Al pastor,3/18/2016,,,,,,,6.99,4,,,,4,3,3.5,3,4,5,3,3.5,5,3.5,,Emily,Kind of dry ,,,,,,,,,x,,,,,,,,,,,,,x,x,,x,,,,,,,,,,,,
"Qdoba Mexican Grill, Seatac Airport",Custom,3/19/2016,Seattle,Airport,,,,,9.5,5,,,,3,3,3.5,3,4,1,3,2.5,5,3,,Sage,,x,,,x,x,x,,,x,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,
Cancun Mexican & Seafood,California,3/20/2016,Encinitas,1766 N Coast Hwy,http://cancunmexicanandseafood.com/,4.5,4.1,x,6.99,4,,,,4,4.5,4,3.5,4,2.5,2,4,4,4.2,,Scott,A bit small,,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancun Mexican & Seafood,Machaca,3/20/2016,,,,,,,5.99,3,,,,4,3.5,3.5,4,3.5,3.5,2,3.5,0.5,3.9,,Emily,So hot! Egg is surprisingly good,,,x,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,x,,,,,,
Vallarta express,Quesaburro,3/21/2016,Clairemont,4277 Genesee Ave,http://www.vallartaexpress.com/menu/,3.5,4,,6.95,3.5,,,,3,4,3.5,4,4,4,3.5,4.5,4.5,4.1,,Scott,,,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vallarta express,Philly ,3/21/2016,,,,,,,6.95,4,,,,3,4.5,4,3,3,2,4,2,4.5,3,,Torben,Guac chips have lots of cheese,,,x,,,x,,,,,,,,,,,x,,,,x,,,,,,,,,,,x,x,,,,
Vallarta express,Carne asada,3/21/2016,,,,,,,6.5,3.5,,,,3.75,5,3,3,4.5,4.5,3.5,3,4.5,3.25,,Ricardo,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vallarta express,Quesa,3/21/2016,,,,,,,6.95,4.5,,,,2,5,3.5,4,2.5,5,3.5,2.5,4,3.75,,Alex,Heart-stopping amount of cheese. Second tortilla of cheese,,,x,x,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vallarta express,Surf and turf,3/21/2016,,,,,,,7.65,3,,,,2,4,3,3,4,2,4,2,3,3.5,,Richard,Hot carrots,,,x,,x,,,x,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,
Vallarta express,Mahi,3/21/2016,,,,,,,7.3,3,,,,3,4.5,3.5,3,3,2,3.5,2.5,4.5,3.5,,Tom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikes Taco Club,California,3/23/2016,Ocean Beach,5060 Newport Ave,http://www.mikestacoclub.com/menu/,4.5,4.9,,8.59,2.5,,,,4,4.5,3.5,5,2.5,2,4,4.5,4,4.3,Yes,Scott,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikes Taco Club,California,3/23/2016,,,,,,,8.59,3.5,,,,4.5,4.5,4,4.5,4,4,4,4.5,5,4.5,,Brad,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Perla Cocina,Addiction,3/30/2016,Pacific Beach,745 Emerald St,https://www.yelp.com/biz/la-perla-cocina-mexicana-san-diego,4.5,4.7,,7.99,3.5,,,,4,4,2,3,1.5,3,2.5,1,3,2.5,No,Scott,Bland,,,x,x,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,
La Perla Cocina,Oaxacalifornia,3/30/2016,,,,,,,9.99,3,,,,4,4.5,3.5,4,3,2,2.5,3.5,4,4,,Emily,Fries are good,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Porkyland ,Deborah's special,4/2/2016,Carmel Valley,4645 Carmel Mountain Rd,http://goporkyland.com/,4,4.4,x,8.25,3.5,,,,4,4.5,3.5,2.5,4.5,4.5,4,3.5,5,4,,Scott,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
Porkyland ,Chicken nopalito,4/2/2016,,,,,,,7.95,2.5,,,,2.5,2.5,4,3.5,3,2.5,3,3,5,3.3,,Emily,,,,,,x,,,,,x,,,,,,,,,,x,,,,,,,,x,,,,,,,,,
Porkyland ,Chicken nopalito,4/2/2016,,,,,,,7.95,2,,,,4,5,4,4,3,5,3,3,5,4,,Tara,,,,,,x,,,,,x,,,,,,,,,,x,,,,,,,,x,,,,,,,,,
Porkyland ,California,4/2/2016,,,,,,,8.75,3,,,,4,5,3,5,3,2,4,3,5,4,,Andy,,,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop,California ,4/3/2016,,,,,,,6.6,3,,,,3,4.5,4,4.5,4,4.5,4.5,5,4.5,4.5,Yes,Scott,,,,x,,,x,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop,Adobada,4/3/2016,,,,,,,6.6,3,,,,4,5,5,5,5,4,,4.5,5,4.5,,Tara,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop,California,4/7/2016,,,,,,,6.6,3,,,,3,5,3.5,3,4.5,2.5,3,4,4,3.6,,Scott,Too much enchilada sauce this time,,,x,,,x,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop,Surf & Turf,4/7/2016,,,,,,,7.45,3.5,,,,3,5,3.5,2.5,3,2.5,3.75,3,4,3,,Bankole,Would have enjoyed it more if wasn't rating; shrimp better than meat. Quality of the shrimp really improves the burrito. Well cooked and fresh. Shrimp could have had more flavor,,,x,,,x,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,
Rudy's Taco Shop,Chicken,4/9/2016,Solana Beach,524 Stevens Ave,http://www.rudystacoshop.com/,4,4.3,,6.6,3.5,,,,3.5,3,4,4.5,3,1,3,4,0.5,2.8,No,Scott,"Salsa Fresca is good, way too small",,,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rudy's Taco Shop,Carnitas,4/9/2016,,,,,,,6.6,3,,,,3,2.5,3,4,2,1,3,3,5,3,No,Emily,,,,,X,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taco stand,Carne asada,4/14/2016,,,,,,,7.89,3.5,,,,3,2,4.5,4,4,1.5,4.5,4.5,4.5,4.4,Yes,Scott,Too small ,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taco stand,Carne asada,4/14/2016,,,,,,,7.89,2,,,,3,2.5,4.5,3.5,4.5,3,4,3.5,5,3.5,Yes,Richard,A little small. No rice and beans or cheese or sour cream,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Burritos,California Everything,4/15/2016,Linda Vista,7754 Starling Dr,https://www.yelp.com/biz/california-burritos-san-diego,4.5,4.4,x,6.25,4,,,,4.5,4.5,2.5,3.5,3.5,3.5,3,4,5,4.1,Yes,Scott,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Burritos,California Everything,4/15/2016,,,,,,,6.25,3.5,,,,4,4,4,2.5,3,3.5,4,4,5,4,No,Brent,Brent doesn't like fries in his burrito,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Burritos,California Everything,4/15/2016,,,,,,,6.25,4,,,,4,4.5,4.5,5,5,5,4.5,5,5,4.6,Yes,Luis,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Burritos,Chile relleno and carnitas,4/15/2016,,,,,,,6.5,5,,,,4.5,5,5,5,5,4,4,5,5,4.7,Yes,Karl,,x,,,x,,x,,x,x,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,
California Burritos,California (only cheese),4/15/2016,,,,,,,6.25,2,,,,5,5,5,4,4,2,,5,5,5,Yes,Kalen,,x,,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vallarta express,Fish,4/15/2016,,,,,,,6.5,2.5,,,,3,,3.5,4,4,3,,4,1.5,3.5,,Erin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vallarta express,California,4/15/2016,,,,,,,6.65,3.5,,,,3.5,,3.5,3.5,4.5,3.5,3.5,4,4,4,,Ricardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorge's Mexicatessen,California ,4/24/2016,Encinitas ,267 N El Camino Rea,https://www.yelp.com/biz/jorges-mexicatessen-encinitas,4,4.5,,5.95,3.5,20,22,0.77,2.5,2.5,3.5,4,3,4.5,4,4.5,4.5,3.8,Yes,Scott,"Cheese should be melted, potatoes are very good",,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorge's Mexicatessen,Chimichanga beef,4/24/2016,,,,,,,5.5,3,,,,2,4,3,3,3,4,3.5,3.5,,3,No,Emily,,,,X,X,X,X,,X,,,,,X,X,,,,,,X,,,,,,,,,,,,,,,,,
Senor Grubby's,California,4/24/2016,Carlsbad,377 Carlsbad Village Dr,eatgrubbys.com,4,4.1,,9,2,19,21.5,0.7,2,3.5,3,1.5,1,1,2.5,1.5,3.5,1.5,No,Scott,"The ends of the burrito were decent, but the middle was terrible without much meat",,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senor Grubby's,Pastor,4/24/2016,,,,,,,9,2,18.5,23,0.78,2.5,2.5,1.5,2.5,1,2,2.5,2,5,1.8,No,Emily,,,,,,x,,,,x,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,
Taco stand,California,4/25/2026,,,,,,,8,4,21.59,,,4.5,5,5,5,4.5,5,3,5,5,4.9,Yes,Sage,A wonderful eating experience. best California burrito I've ever had by far. ,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mi Asador Mexican & Seafood ,California ,4/27/2016,Oceanside,4750 Oceanside Blvd,https://sites.google.com/site/miasador/,4.5,4.4,x,6.89,3,25,22,0.96,3,2.5,3,2.5,2.5,2,3.5,3,4,3,No,Scott,,,,X,,X,x,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mi Asador Mexican & Seafood ,El Hawaiiano ,4/27/2016,,,,,,,6.39,3,23,22.5,0.93,4,3,2.5,3.5,3,3,3.5,4,3.5,3.5,Yes,Emily,Pineapple is really good,,,X,,X,X,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Sotos Mexican Food,California,5/4/2016,Miramar ,6904 Miramar Rd,https://www.yelp.com/biz/sotos-mexican-food-san-diego,4.5,4.6,x,6.75,3,22.5,23,0.95,4.5,4,3,4,1,3,4.5,3.5,4.5,3.5,Yes,Scott,Fries are good. Too little meat,,,X,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sotos Mexican Food,Pastor,5/4/2016,,,,,,,5.99,2,21,22,0.81,4,2,2.5,4,4,3,3.5,4,5,3.2,No,Emily,Free lime. Ingredients chopped finely,,,,,X,,,,X,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,
Taco stand,California,5/6/2016,,,,,,,7.49,3.5,19,22,0.73,3.5,4,4,4,3.5,3,4,4.5,3,4.2,Yes,Scott,Less meat than usual,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taco stand,California,5/6/2016,,,,,,,7.49,4,16.5,25,0.82,4,3.5,4,4,4.5,5,4.5,5,4.5,4.5,Yes,Ricardo,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taco stand,California,5/6/2016,,,,,,,7.49,4,17,25.5,0.88,3,3,4,3.5,3.5,4,3.5,4,2.5,3.7,Yes,Luis,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taco stand,California,5/6/2016,,,,,,,7.49,3,17.7,21.5,0.65,4,2,5,5,1,3,5,4,3,4,Yes,Elynn,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taco stand,California,5/6/2016,,,,,,,7.49,1,20,23.5,0.88,4,3,4,4.5,5,4.5,3,4.5,4,4,Yes,Sandra,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taco stand,Carne asada,5/6/2016,,,,,,,7.89,4,18,25,0.9,4,2,4,3,4,4,4,3.5,4,3.5,Yes,Brent,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taco stand,Shrimp,5/6/2016,,,,,,,8.95,5,17,22,0.65,4,4,5,5,5,4,5,5,5,5,Yes,Sankeerth,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vallarta express,California,5/9/2016,,,,,,,6.95,4,21,23,0.88,3,3.5,2,3.5,3,2.5,2.5,2.5,2,2.9,No,Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolita's taco shop,California,5/12/2016,,,,,,,7,3.5,17.5,24.5,0.84,3,5,3,3.5,3,1.5,3,3,4,3.3,No,Scott,,,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolita's taco shop,2 in 1,5/12/2016,,,,,,,8.75,3,19,21.5,0.7,3,4,2.7,4.7,3,2.4,2,3.7,4.5,3.7,Yes,Bankole,,,,x,,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
Lolita's taco shop,2 in 1,5/12/2016,,,,,,,8.75,4,17.78,22.225,0.7,4.5,3.8,3.8,4.5,3.4,1.5,3,3.8,4,3.8,Yes,Katie,,,,x,,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
Rigoberto's Taco Shop,El Rusio,5/13/2016,,,,,,,6.65,4,21.5,23,0.91,3,4.5,2.5,2,3.5,5,1.5,2,1.5,2.5,No,Scott,Fries are terrible. Burrito leaked,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop,Carne asada,5/13/2016,,,,,,,6.6,4,22,22,0.85,4,3.5,4,4,3.5,4,4,4.5,4.5,4,Yes,Ricardo,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop,Carne asada,5/13/2016,,,,,,,6.6,4.5,23,22,0.89,4,3,3,3,3.5,3,,3.5,4.5,3,Yes,Erin,Meat was too salty,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop,Carnitas,5/13/2016,,,,,,,7.5,4,23.5,22.5,0.95,4,5,4,5,5,4,5,4,4,4,Yes,Elynn,,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop,Bacon breakfast,5/13/2016,,,,,,,6.25,3.5,22,22,0.85,4,3.5,4,4,5,5,,5,4.5,4.2,Yes,Luis,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,
Rigoberto's Taco Shop,Chile Relleno,5/13/2016,,,,,,,6.6,5,23,24,1.05,5,4,,5,5,4,,5,3,4.5,Yes,Matteo,,x,,,,,x,,x,,,,,,,x,,,,,x,,,,,,,x,,,,,,,,,,
Rigoberto's Taco Shop,Fish,5/13/2016,,,,,,,6,2,23,23.5,1.01,5,4.5,5,5,5,5,,5,4,5,Yes,Aga,,x,,,,,,,,,,,x,,,x,x,,,,,,x,x,,,,,,,,,,,,,,
