Location,Burrito,Date,Neighborhood,Hunger,Cost,chips?,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Reviewer,beef/ carne asada,Pico,Guac,Cheese,Fries,sour cream,pork,chicken,Shrimp,fish,rice,beans,lettuce,tomato,bell pepper,carrots,cabbage,sauce,salsa,cilantro,onion,taquito,pineapple,ham,chile relleno,nopales/nopalitos,lobster,queso,egg,mushroom,bacon
Vallarta express,Quesaburro,3/21/2016,Clairemont,3.5,6.95,No,3,4,3.5,4,4,4,3.5,4.5,4.5,4.1,Scott,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vallarta express,Philly ,3/21/2016,Clairemont,4,6.95,No,3,4.5,4,3,3,2,4,2,4.5,3,Torben,x,,,x,,,,,,,,,,,x,,,,x,,,,,,,,,,,x,x
Vallarta express,Carne asada,3/21/2016,Clairemont,3.5,6.5,No,3.75,5,3,3,4.5,4.5,3.5,3,4.5,3.25,Ricardo,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vallarta express,Quesa,3/21/2016,Clairemont,4.5,6.95,No,2,5,3.5,4,2.5,5,3.5,2.5,4,3.75,Alex,x,x,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Vallarta express,Surf and turf,3/21/2016,Clairemont,3,7.65,No,2,4,"2,4",3,4,2,4,2,3,3.5,Richard,x,,x,,,x,,,x,,x,x,,,,,,,,,,,,,,,,,,,
Vallarta express,Mahi,3/21/2016,Clairemont,3,7.3,No,3,4.5,3.5,3,3,2,3.5,2.5,4.5,3.5,Tom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikes Taco Club,California,3/23/2016,Ocean Beach,2.5,8.59,No,4,4.5,3.5,5,2.5,2,4,4.5,4,4.3,Scott,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Mikes Taco Club,California,3/23/2016,Ocean Beach,3.5,8.59,No,4.5,4.5,4,4.5,4,4,4,4.5,5,4.5,Brad,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
La Perla Cocina,Addiction,3/30/2016,Pacific Beach,3.5,7.99,No,4,4,2,3,1.5,3,2.5,1,3,2.5,Scott,x,x,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,
La Perla Cocina,Oaxacalifornia,3/30/2016,Pacific Beach,3,9.99,No,4,4.5,3.5,4,3,2,2.5,3.5,4,4,Emily,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Porkyland ,Deborah's special,4/2/2016,Carmel Valley,3.5,8.25,Yes,4,4.5,3.5,2.5,4.5,4.5,4,3.5,5,4,Scott,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Porkyland ,Chicken nopalito,4/2/2016,Carmel Valley,2.5,7.95,Yes,2.5,2.5,4,3.5,3,2.5,3,3,5,3.3,Emily,,,x,,,,,x,,,,,,,,,,x,,,,,,,,x,,,,,
Porkyland ,Chicken nopalito,4/2/2016,Carmel Valley,2,7.95,Yes,4,5,4,4,3,5,3,3,5,4,Tara,,,x,,,,,x,,,,,,,,,,x,,,,,,,,x,,,,,
Porkyland ,California,4/2/2016,Carmel Valley,3,8.75,Yes,4,5,3,5,3,2,4,3,5,4,Andy,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop,California ,4/3/2016,Miramar,3,6.6,No,3,4.5,4,4.5,4,4.5,4.5,5,4.5,4.5,Scott,x,,,x,x,,,,,,,,,,,,,x,,,,,,,,,,,,,
Rigoberto's Taco Shop,Adobada,4/3/2016,Miramar,3,6.6,No,4,5,5,5,5,4,,4.5,5,4.5,Tara,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop,California,4/7/2016,Miramar,3,6.6,No,3,5,3.5,3,4.5,2.5,3,4,4,3.6,Scott,x,,,x,x,,,,,,,,,,,,,x,,,,,,,,,,,,,
Rigoberto's Taco Shop,Surf & Turf,4/7/2016,Miramar,3.5,7.45,No,3,5,3.5,2.5,3,2.5,3.75,3,4,3,Bankole,x,,,x,,,,,x,,x,,,,,,,,,,,,,,,,,,,,
